,Na,Rm,Rm_mean,Rm_sd,ln_Na,ln_Rm,ln_Rm_mean,ln_Rm_SD,grad_Ln_n/r,grad_Ln_n/r_mean
3102,200,23.3452,21.370676666666668,2.505533039818545,5.298317366548036,3.1503913955312015,3.0553130522656806,0.11521619156910232,1.4793178783572634,1.7126578036357556
3103,300,31.241,26.84902916666666,2.7195913806243306,5.703782474656201,3.441731334702446,3.285140343844522,0.10076782417093728,1.6417234881666984,1.7601751636533443
3104,400,35.609,31.6187925,3.1040169220480047,5.991464547107982,3.5725984148959413,3.4491074852704497,0.09557367636437496,2.1042978657459273,1.7533435392386785
3105,500,39.8246,35.89659333333332,3.3230372416093164,6.214608098422191,3.684484811803424,3.576484060768244,0.09057615756357267,1.669446043400617,1.7133367482688373
3106,600,45.3982,40.04389833333334,3.710717573596353,6.396929655216146,3.815472456684224,3.6857598004197327,0.09147028789639876,1.584824632317814,1.7102698472107807
3107,700,49.2443,43.72722333333333,4.3229883075394016,6.551080335043404,3.8967936248795563,3.773220404550457,0.09685168179999114,2.0683334044533797,1.7275058757833865
3108,800,52.1728,47.33177250000001,4.7437520320586515,6.684611727667927,3.95456128628605,3.852290100828305,0.09834182989737124,2.4468156681887154,1.707768512129291
3109,900,54.5711,50.64796416666664,4.9007527603728755,6.802394763324311,3.9995044385907277,3.9203799443217817,0.09431186119759224,2.487136790712259,1.7507711267575068
3110,1000,57.0701,53.724891666666714,4.951713280144431,6.907755278982137,4.04428033678118,3.979744539563241,0.09036940239731113,2.5297698159001656,1.758963195421516
3111,1100,59.0762,56.73478583333333,5.0782842269854,7.003065458786462,4.078828136027898,4.034464591450548,0.08819428676099225,3.601835265718156,1.718909216503634
3112,1200,60.0333,59.72028666666667,5.308438920827497,7.090076835776092,4.094899408266562,4.085812710612325,0.08741458751992394,1.9534349070721326,1.7390805854339302
3113,1300,64.3506,62.42083666666668,5.17507870407021,7.170119543449628,4.164346258007991,4.130523443502814,0.08186791050887766,1.1528155585120852,1.7881184780238804
3114,1400,68.6222,65.06970416666668,5.452820311703814,7.24422751560335,4.2286160975400975,4.172021024950431,0.08254691259686803,1.515095777511273,1.7518875186045955
3115,1500,70.7248,67.7424475,5.7787105031165735,7.313220387090301,4.2587962893292675,4.212207251464786,0.08304131737574126,1.9296126131024338,1.7735688679333192
3116,1600,73.5391,70.1436716666667,5.728386898524943,7.3777589082278725,4.297817237560545,4.247310682453341,0.07991086170570379,1.6305580622698053,1.6870470635172912
3117,1700,76.3675,72.93593000000001,5.878605615727894,7.438383530044307,4.335557212997188,4.286397916124168,0.07946691779722188,2.488269112114085,1.7163804417365114
3118,1800,77.1038,75.12314416666668,6.063203720666094,7.495541943884256,4.3451525659954635,4.315933601237721,0.07963162235660394,4.00606417156822,1.8360461774530512
3119,1900,78.5175,77.48650666666666,6.175188481735324,7.549609165154532,4.3633215298794825,4.346976803777482,0.0788456479161137,2.8332986268458322,1.663636956895194
3120,2000,80.025,80.02853916666668,6.375079676969845,7.600902459542082,4.382339085855927,4.379265036152739,0.07868997029419776,1.0962444699934581,1.7405239592327975
3121,2100,86.0233,82.07136416666668,6.536894329531355,7.649692623711514,4.454618189791098,4.404478717512181,0.07855015819709575,0.8096536701963374,1.8333636815057408
3122,2200,90.0222,84.29348166666665,6.641495081179538,7.696212639346407,4.500056306579712,4.431251546393875,0.07787304307059223,1.3531611112143946,1.7412822336535276
3123,2300,92.0054,86.4526733333334,6.615108654936319,7.7406644019172415,4.521847270978692,4.456722849133999,0.07552449148040136,2.0018701339462064,1.7252612449714588
3124,2400,94.0213,88.63279833333334,6.704121107646945,7.783224016336037,4.5435213523457465,4.481685286352526,0.074807787458685,1.9395878930765473,1.737400356900739
3125,2500,96.0469,90.68775999999998,6.727035487412114,7.824046010856292,4.564836613836876,4.50471501663176,0.07332972524943136,2.4983093116566804,1.7186023159202657
3126,2600,97.0824,92.84680916666669,6.862446486530193,7.8632667240095735,4.575560102431683,4.528259590909236,0.07313910404695788,3.2816583684347136,1.736862935811527
3127,2700,98.32600000000001,94.81161499999999,7.223126259991259,7.90100705199242,4.588288488619575,4.5490253876744635,0.075520650342383,1.7361903800867509,1.7667293167543852
